대분류,중분류,소분류,기능,설명,작업상태,우선순위,전제조건,인수조건
도메인,고객분석,LTV,LTV 계산 API,고객 생애가치 추정치와 등급 반환.,미착수,P1,거래 이력 충분성,1) 상위 10% 식별 2) 신뢰구간 제공 3) 산식 버전 기록
도메인,리스크,이상탐지,결제/할인/포인트 이상 탐지 API,평시 패턴 대비 비정상 이벤트 탐지.,진행중,P0,탐지 기준/모델 준비,1) 경보 점수 반환 2) 오탐 태깅 가능 3) 실시간 처리
도메인,리스크,케이스관리,경보 케이스 상태관리 API,new/in_progress/resolved 상태 관리.,진행중,P1,운영 프로세스 정의,1) 상태 전이 규칙 2) 담당자 지정 3) 조치 코멘트 기록
도메인,SV분석,담당매장현황,담당 매장 KPI 집계 API,SV 담당 매장 전체의 주요 KPI를 비교 가능한 형태로 집계 반환.,진행중,P0,SV 담당 매장 매핑 + 집계 테이블,1) 담당 매장만 반환 2) 지표 선택 파라미터 지원 3) 기간 필터 지원
도메인,SV분석,리스크랭킹,SV 구역 리스크 랭킹 API,담당 매장의 위험도 점수를 종합해 리스크 순위 반환.,진행중,P0,이상탐지/이탈탐지 결과,1) 위험도 종합 점수 산출 2) 주요 경보 항목 포함 3) 최신 데이터 기준
도메인,SV분석,방문리포트,매장 방문 사전 리포트 생성 API,특정 매장의 이슈·개선점을 집계하고 AI 요약 생성 잡을 트리거한다.,진행중,P1,분석 결과 집계,1) 30초 이내 생성 완료 2) 이슈/코칭포인트 구조화 3) PDF 출력 지원
도메인,SV관리,액션이행,점주 액션 이행률 조회 API,SV 담당 매장 점주들의 액션 이행률 집계 반환.,진행중,P1,액션 상태 이력,1) 매장별 이행률 반환 2) 기간 필터 3) 미이행 액션 목록 포함
도메인,SV관리,에스컬레이션,에스컬레이션 보고 API,SV가 본사에 특정 매장 리스크를 보고하는 에스컬레이션 저장 및 알림 발송.,진행중,P1,알림 채널 연동,1) 보고 내용 저장 2) 본사 수신 알림 발송 3) 이력 조회 가능
자동화,OCR,이미지처리,공지 이미지 전처리 파이프라인,기울기/노이즈 보정 후 OCR 품질 향상.,진행중,P1,이미지 처리 라이브러리,1) 처리 실패 격리 2) 품질 점수 산출 3) 원본 보관
자동화,OCR,텍스트추출,OCR 추출 API,공지 이미지에서 한글 텍스트 추출.,진행중,P0,OCR 모델 배포,1) 인식률 기준 충족 2) 페이지 순서 보장 3) 재처리 지원
자동화,OCR,요약체크,요약/체크리스트 생성 API,추출 텍스트를 요약하고 필수 이행항목 도출.,진행중,P0,요약 프롬프트 정책,1) 핵심 일정 누락 없음 2) 체크항목 구조화 3) 신뢰도 반환
자동화,명령,파싱,자연어 POS 명령 파서 API,명령을 구조화된 변경요청으로 변환. (MVP: 시뮬레이션 목적),진행중,P0,의도/엔티티 사전,1) 파싱 실패 사유 반환 2) 신뢰도 점수 3) 모호 명령 차단
자동화,명령,검증,명령 유효성 검증기,"메뉴 존재 여부, 권한, 일정 충돌 검증.",진행중,P0,메뉴 마스터 연동,1) 잘못된 메뉴 즉시 오류 2) 충돌 탐지 3) 수정 가이드
자동화,명령,스케줄러,예약 실행 스케줄러 (Phase 2),승인된 명령을 지정 시각에 POS에 직접 실행한다. Phase 2 구현.,미착수,P2,잡 큐 구성/POS 커넥터/Phase 2,1) 정시 실행 2) 실패 재시도 3) 중복 실행 방지
자동화,승인,상태머신,승인 워크플로우 상태관리,pending/approved/rejected 상태 관리.,미착수,P0,승인 권한체계,1) 승인자 기록 2) 반려사유 필수 3) 재요청 가능
자동화,승인,감사,승인 감사로그 저장,누가 무엇을 왜 승인했는지 기록.,미착수,P1,감사 스키마,1) 변경 전후 값 저장 2) 조회 가능 3) 위변조 방지
마케팅,실행,오퍼발송,쿠폰/포인트 발송 API,세그먼트 대상 마케팅 오퍼 발송 처리.,진행중,P0,발송 채널 연동,1) 테스트 발송 지원 2) 본발송 트래킹 3) 실패 재시도
마케팅,실행,발송제어,빈도/쿨다운 제어,고객 과다 발송 방지를 위한 쿨다운 적용.,진행중,P1,정책 테이블 정의,1) 쿨다운 위반 차단 2) 예외 승인 가능 3) 위반 로그 기록
마케팅,검증,ROI,프로모션 ROI 계산 API,전후 순이익/ROI/신뢰도 계산.,진행중,P0,대조군/비교기간 정의,1) 순이익 기준 결과 2) 근거 데이터 반환 3) 리포트 ID 생성
관제,워크플로우,오케스트레이션,멀티 에이전트 오케스트레이터,분석→전략→실행 단계 순차/병렬 실행.,진행중,P0,워크플로우 정의 DSL,1) 단계 의존성 준수 2) 실패 시 중단/재개 3) 실행 이력 저장
관제,워크플로우,재실행,실패 단계 재실행 API,실패 단계만 선택 재실행 지원.,진행중,P1,단계 idempotency 확보,1) 중복 부작용 없음 2) 재실행 사유 기록 3) 결과 비교 가능
관제,에이전트상태,헬스체크,에이전트 상태 수집 API,각 에이전트의 상태/지연/오류 수집.,진행중,P0,에이전트 상태 엔드포인트,1) 30초 주기 수집 2) 장애 원인코드 3) 최근 heartbeat 저장
관제,에이전트상태,제어,에이전트 일시중지/재개 API,운영자가 특정 에이전트를 제어.,진행중,P1,운영자 권한 필요,1) 중지 상태에서 실행 차단 2) 재개 후 정상 처리 3) 조치 로그
리포팅,생성,점주리포트,일간 점주 리포트 생성 잡,핵심 지표와 액션을 요약한 리포트 생성.,진행중,P1,템플릿 준비,1) 매일 지정시간 생성 2) 데이터 일치 3) 생성 실패 재시도
리포팅,생성,본사리포트,주간 본사 리포트 생성 잡,매장군 비교/리스크/ROI 포함 리포트 생성.,진행중,P1,본사 템플릿,1) 주차 기준 생성 2) 섹션 누락 없음 3) 배포 이력 기록
리포팅,생성,SV리포트,SV 방문 준비 리포트 생성 잡,SV가 요청한 매장의 방문 사전 분석 리포트를 생성한다.,진행중,P1,분석 결과 집계 완료,1) 요청 후 30초 이내 생성 2) 이슈/코칭포인트 섹션 포함 3) PDF 출력 지원
리포팅,전달,배포,메일/메신저 배포 API,생성 리포트를 대상자에게 배포.,미착수,P2,배포 채널 연동,1) 수신자 그룹별 전송 2) 실패 재전송 3) 오발송 방지
운영,설정,피처플래그,기능 플래그 제어 API,매장/조직 단위 기능 on/off 제어.,미착수,P1,플래그 저장소,1) 실시간 반영 2) 롤백 가능 3) 변경 로그
운영,설정,레이트리밋,API 호출 제한/보호,남용 방지를 위한 호출 제한 정책 적용.,미착수,P1,게이트웨이 정책,1) 임계치 초과 429 2) 화이트리스트 예외 3) 대시보드 모니터링
운영,백업,복구,데이터 백업/복구 절차,운영 데이터의 정기 백업과 복구 절차 제공.,미착수,P1,백업 스토리지/키 관리,1) 일일 백업 성공 2) 복구 리허설 통과 3) RPO/RTO 준수
재고관리,식자재마스터,CRUD,식자재 마스터 관리 API,품목명·단위·카테고리·안전재고 기준 마스터 데이터를 등록·수정·조회한다.,진행중,P0,매장 마스터 연동,1) 품목 중복 방지 2) 단위 표준화 3) 카테고리 분류
재고관리,월말실사,저장,재고 실사 저장 API,월별 매장별 품목 실재고를 저장하고 이론재고 대비 차이율을 계산해 반환한다.,진행중,P0,식자재 마스터,1) 월/매장 기준 upsert 2) 차이율 자동 계산 3) 저장 이력 보관
재고관리,이론재고,산출,이론재고 자동 산출 API,전월 재고·입고·판매 데이터 기반 당월 이론재고를 자동 산출한다.,진행중,P0,원가/매출 데이터 연동,1) 산식 버전 포함 2) 누락 항목 경고 3) 재산출 지원
재고관리,월말실사,집계,월별 재고 손실 집계 API,매장별 월별 손실율·과잉/부족 품목 수를 집계해 KPI 카드용 요약으로 반환한다.,진행중,P1,실사 저장 완료,1) 월별 집계 정확 2) 전월 대비 비교 3) KPI 요약 반환
인력관리,스케줄,조회,직원 스케줄 조회 API,매장별 일/주 단위 직원 근무 시간표와 실시간 상태를 반환한다.,진행중,P0,직원 마스터 + 스케줄 저장소,1) 근무중/대기/미출근/퇴근 상태 반환 2) 시간대별 가용 인원 집계 3) 역할별 필터 지원
인력관리,인시집계,산출,시간대별 인시당 매출 산출 API,매출 집계와 투입 인원을 결합해 시간대별 인시당 매출과 권장 인원을 계산해 반환한다.,진행중,P0,시간대 매출 집계 + 스케줄 데이터,1) 시간대별 인시당 매출 반환 2) AI 권장 인원 포함 3) 목표 대비 달성율 계산
인력관리,목표관리,설정,인시당 매출 목표 설정 API,매장별 인시당 매출 목표값을 등록·수정·조회한다.,진행중,P1,매장 마스터,1) 매장별 목표값 저장 2) 변경 이력 보관 3) 기본값 제공
